code,name,industry,market_cap,sector
300750,宁德时代,锂电池,12000,新能源
002594,比亚迪,新能源汽车,8500,新能源
002460,赣锋锂业,锂资源,2100,新能源
601899,紫金矿业,有色金属,3500,新能源
300014,亿纬锂能,锂电池,1500,新能源
603659,璞泰来,锂电材料,820,新能源
002074,国轩高科,锂电池,720,新能源
300438,鹏辉能源,储能,610,新能源
688567,孚能科技,动力电池,480,新能源
002709,天赐材料,电解液,560,新能源
301358,华盛锂电,电解液,290,新能源
688336,七彩化学,锂电材料,210,新能源
603501,韦尔股份,半导体设计,1800,半导体
002049,紫光国微,半导体,1200,半导体
688981,中芯国际,晶圆代工,4200,半导体
300661,圣邦股份,模拟芯片,780,半导体
688012,中微公司,半导体设备,1100,半导体
688041,海光信息,CPU芯片,2300,半导体
688396,华润微,功率半导体,890,半导体
300782,卓胜微,射频芯片,650,半导体
688185,康希通信,射频器件,320,半导体
688819,天岳先进,碳化硅,280,半导体
600276,恒瑞医药,创新药,2800,医药
300760,迈瑞医疗,医疗器械,3200,医药
688180,君实生物,生物药,680,医药
688389,普蕊斯,CRO,210,医药
300347,泰格医药,CRO,890,医药
603259,药明康德,CDMO,2100,医药
300601,康泰生物,疫苗,780,医药
688321,荣昌生物,生物药,460,医药
600519,贵州茅台,白酒,22000,消费
000858,五粮液,白酒,6800,消费
600887,伊利股份,乳制品,1800,消费
603288,海天味业,调味品,2100,消费
002304,洋河股份,白酒,1700,消费
000568,泸州老窖,白酒,1900,消费
601318,中国平安,保险,8800,金融
600036,招商银行,银行,9200,金融
601688,华泰证券,证券,1800,金融
600030,中信证券,证券,2400,金融
002415,海康威视,智能安防,3200,科技
688111,金山办公,办公软件,1200,科技
300459,汤姆猫,移动游戏,320,科技
